p_id,source,p_base_price,p_name,category,p_gender,p_img,p_link
42805,Noir,61.18$,gathered waist oversized abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/02/4U3A0239-1.jpg,https://abayanoir.com/product/gathered-waist-oversized-abaya/?v=3d9975706be3
42846,Noir,62.66$,Gold Embellished Crepe open abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/02/4U3A0075.jpg,https://abayanoir.com/product/gold-embellished-crepe-open-abaya/?v=3d9975706be3
42793,Noir,62.24$,Gold Embellished puffed sleeves abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/02/4U3A0019.jpg,https://abayanoir.com/product/gold-embellished-puffed-sleeves-abaya/?v=3d9975706be3
42873,Noir,64.99$,layered chiffon Open Abaya with ruffled sleeves,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/02/4U3A0150.jpg,https://abayanoir.com/product/layered-chiffon-open-abaya-with-ruffled-sleeves/?v=3d9975706be3
43494,Noir,74.51$,Luxury Lace Embellished  Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/03/4U3A0091.jpg,https://abayanoir.com/product/luxury-lace-embellished-abaya/?v=3d9975706be3
43076,Noir,72.40$,wrinkled  open abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/02/4U3A0210.jpg,https://abayanoir.com/product/wrinkled-open-abaya/?v=3d9975706be3
42832,Noir,65.20$,Satin*Crepe Classic Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2025/02/4U3A0183.jpg,https://abayanoir.com/product/satincrepe-classic-abaya/?v=3d9975706be3
41530,Noir,87.21$,"Double Sided crepe Abaya , light beige X lavender",Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-6-scaled.jpg,https://abayanoir.com/product/double-sided-crepe-abaya-light-beige-x-lavender/?v=3d9975706be3
41721,Noir,87.21$,"Double Sided crepe Abaya , black X olive green",Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-79-scaled.jpg,https://abayanoir.com/product/double-sided-crepe-abaya-black-x-olive-green/?v=3d9975706be3
41698,Noir,87.21$,"Double Sided crepe Abaya , black X dark mint green",Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-40-scaled.jpg,https://abayanoir.com/product/double-sided-crepe-abaya-black-x-dark-mint-green/?v=3d9975706be3
41808,Noir,67.53$,Light silky Tulip abaya with a waist tie.,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-111-scaled.jpg,https://abayanoir.com/product/light-silky-tulip-abaya-with-a-waist-tie/?v=3d9975706be3
41947,Noir,58.43$,Crepe * Satin abaya with studs detailing on the sleeves and the bottom,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-133-1-scaled.jpg,https://abayanoir.com/product/crepe-satin-abaya-with-studs-detailing-on-the-sleeves-and-the-bottom/?v=3d9975706be3
41883,Noir,46.36$,Sport Abaya with touch of Indigo or mint Green Cotton,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-590-scaled.jpg,https://abayanoir.com/product/sport-abaya-with-touch-of-indigo-or-mint-green-cotton/?v=3d9975706be3
